"Timestamp","Tasks performed during the experiment:","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration","Mental Demand","Physical Demand","Temporal Demand","Performance","Effort","Frustration"
"2020/03/27 9:15:52 pm EET","Reacher","6","7","7","8","6","2","7","8","7","8","8","2","8","9","9","9","8","3","8","9","9","8","8","3"
"2020/03/28 3:02:10 pm EET","Cart-Pole","8","6","7","8","7","6","5","5","4","8","8","3","6","6","7","7","7","4","3","4","4","9","7","3"
"2020/03/28 5:35:46 pm EET","Lunar-Lander","7","7","5","8","8","5","8","8","7","5","9","10","6","6","3","9","5","4","7","6","4","7","6","8"
"2020/04/10 11:49:14 am EET","Reacher","9","5","5","9","8","7","8","7","7","7","6","9","6","6","3","9","6","2","3","4","3","9","4","2"
"2020/04/10 7:19:43 pm EET","Cart-Pole","9","9","10","5","9","10","7","7","8","7","7","5","7","4","4","9","4","3","4","3","5","8","4","2"
"2020/04/11 9:20:52 pm EET","Cart-Pole","6","6","7","5","6","6","4","6","7","7","5","2","7","5","6","7","7","7","4","5","2","8","5","2"
"2020/04/11 10:21:11 pm EET","Cart-Pole","6","7","5","6","8","6","5","5","5","9","4","4","3","3","3","10","4","2","3","5","5","10","2","1"
"2020/04/12 12:27:22 am EET","Cart-Pole","3","3","4","7","4","6","5","4","3","8","5","4","3","2","2","9","3","3","2","2","3","9","4","3"
"2020/04/12 5:45:47 pm EET","Cart-Pole","9","6","8","8","8","7","6","5","6","9","5","4","4","3","4","9","3","1","2","2","2","9","2","1"
"2020/04/13 12:59:35 am EET","Cart-Pole","9","6","8","8","8","7","6","5","6","9","5","4","4","3","4","9","3","1","2","2","2","9","2","1"
"2020/04/13 10:56:20 pm EET","Lunar-Lander","8","9","7","7","8","7","9","9","8","7","8","7","9","9","9","7","9","7","9","8","9","8","9","8"
"2020/04/14 1:59:32 am EET","Reacher","7","6","7","8","8","6","10","10","8","3","10","9","6","6","5","8","5","5","5","8","8","9","8","5"
"2020/04/14 11:41:56 am EET","Reacher","7","6","7","8","8","6","10","10","8","3","10","9","6","6","5","8","5","5","5","8","8","9","8","5"
"2020/04/14 8:30:00 pm EET","Reacher","7","6","6","8","7","5","7","7","6","6","6","7","6","6","5","8","6","4","7","7","7","7","7","7"
"2020/04/15 9:59:38 pm EET","Reacher","6","5","8","9","7","3","7","7","9","7","7","3","8","8","8","6","8","5","6","6","5","8","6","2"
"2020/04/20 10:12:26 pm EET","Lunar-Lander","9","7","9","3","8","6","7","7","6","7","6","5","9","8","8","6","8","7","8","7","7","6","7","6"
"2020/04/21 4:02:58 pm EET","Reacher","4","4","4","7","4","4","7","6","6","4","6","7","4","5","5","8","5","5","3","3","3","8","3","3"
"2020/04/21 5:06:42 pm EET","Reacher","4","4","4","7","4","4","7","6","6","4","6","7","4","5","5","8","5","5","3","3","3","8","3","3"